Tanggal,Semua jenis perangkat,Ponsel,Chromebook,Tablet,Tidak dikenal
1 Jan 2020,2,2,0,0,0
2 Jan 2020,2,2,0,0,0
3 Jan 2020,2,2,0,0,0
4 Jan 2020,4,4,0,0,0
5 Jan 2020,4,4,0,0,0
6 Jan 2020,4,4,0,0,0
7 Jan 2020,4,4,0,0,0
8 Jan 2020,6,6,0,0,0
9 Jan 2020,6,6,0,0,0
10 Jan 2020,7,7,0,0,0
11 Jan 2020,7,7,0,0,0
12 Jan 2020,5,5,0,0,0
13 Jan 2020,5,5,0,0,0
14 Jan 2020,5,5,0,0,0
15 Jan 2020,5,5,0,0,0
16 Jan 2020,5,5,0,0,0
17 Jan 2020,5,5,0,0,0
18 Jan 2020,4,4,0,0,0
19 Jan 2020,4,4,0,0,0
20 Jan 2020,4,4,0,0,0
21 Jan 2020,7,7,0,0,0
22 Jan 2020,5,5,0,0,0
23 Jan 2020,6,5,0,1,0
24 Jan 2020,6,5,0,1,0
25 Jan 2020,6,5,0,1,0
26 Jan 2020,8,7,0,1,0
27 Jan 2020,7,6,0,1,0
28 Jan 2020,7,6,0,1,0
29 Jan 2020,7,6,0,1,0
30 Jan 2020,6,5,0,1,0
31 Jan 2020,6,5,0,1,0
1 Feb 2020,6,5,0,1,0
2 Feb 2020,6,5,0,1,0
3 Feb 2020,7,6,0,1,0
4 Feb 2020,8,7,0,1,0
5 Feb 2020,8,7,0,1,0
6 Feb 2020,9,8,0,1,0
7 Feb 2020,8,7,0,1,0
8 Feb 2020,9,8,0,1,0
9 Feb 2020,9,8,0,1,0
10 Feb 2020,9,8,0,1,0
11 Feb 2020,11,9,0,2,0
12 Feb 2020,10,9,0,1,0
13 Feb 2020,12,10,0,1,1
14 Feb 2020,13,11,0,1,1
15 Feb 2020,13,11,0,1,1
16 Feb 2020,15,13,0,1,1
17 Feb 2020,13,10,0,1,2
18 Feb 2020,12,10,0,1,1
19 Feb 2020,11,10,0,1,0
20 Feb 2020,13,12,0,1,0
21 Feb 2020,13,12,0,1,0
